model_id,datetime,reference_datetime,site_id,family,parameter,variable,prediction
wtemp_lm_model,2023-01-09,2023-01-08,BARC,ensemble,1,temperature,19.78159470074729
wtemp_lm_model,2023-01-09,2023-01-08,BARC,ensemble,2,temperature,21.237679650363617
wtemp_lm_model,2023-01-09,2023-01-08,BARC,ensemble,3,temperature,18.654512900017004
wtemp_lm_model,2023-01-09,2023-01-08,BARC,ensemble,4,temperature,18.049769179066622
wtemp_lm_model,2023-01-09,2023-01-08,BARC,ensemble,5,temperature,19.217678560088366
wtemp_lm_model,2023-01-09,2023-01-08,BARC,ensemble,6,temperature,20.183773297739734
wtemp_lm_model,2023-01-09,2023-01-08,BARC,ensemble,7,temperature,18.06297440567367
wtemp_lm_model,2023-01-09,2023-01-08,BARC,ensemble,8,temperature,19.500636672731865
wtemp_lm_model,2023-01-09,2023-01-08,BARC,ensemble,9,temperature,21.452783904521894
wtemp_lm_model,2023-01-09,2023-01-08,BARC,ensemble,10,temperature,17.822028842670377
wtemp_lm_model,2023-01-09,2023-01-08,BARC,ensemble,11,temperature,19.170868679993397
wtemp_lm_model,2023-01-09,2023-01-08,BARC,ensemble,12,temperature,18.644679449829802
wtemp_lm_model,2023-01-09,2023-01-08,BARC,ensemble,13,temperature,17.7621412099438
wtemp_lm_model,2023-01-09,2023-01-08,BARC,ensemble,14,temperature,17.903335694081044
wtemp_lm_model,2023-01-09,2023-01-08,BARC,ensemble,15,temperature,19.817955305675234
wtemp_lm_model,2023-01-09,2023-01-08,BARC,ensemble,16,temperature,19.734603484433762
wtemp_lm_model,2023-01-09,2023-01-08,BARC,ensemble,17,temperature,19.498469615150015
wtemp_lm_model,2023-01-09,2023-01-08,BARC,ensemble,18,temperature,20.146525761208167
wtemp_lm_model,2023-01-09,2023-01-08,BARC,ensemble,19,temperature,21.275842845028286
wtemp_lm_model,2023-01-09,2023-01-08,BARC,ensemble,20,temperature,21.46453305515631
wtemp_lm_model,2023-01-09,2023-01-08,BARC,ensemble,21,temperature,18.32167835023637
wtemp_lm_model,2023-01-09,2023-01-08,BARC,ensemble,22,temperature,21.098318277900816
wtemp_lm_model,2023-01-09,2023-01-08,BARC,ensemble,23,temperature,18.282008808172172
wtemp_lm_model,2023-01-09,2023-01-08,BARC,ensemble,24,temperature,18.4060086688947
wtemp_lm_model,2023-01-09,2023-01-08,BARC,ensemble,25,temperature,18.603616671076736
wtemp_lm_model,2023-01-09,2023-01-08,BARC,ensemble,26,temperature,20.46083529016881
wtemp_lm_model,2023-01-09,2023-01-08,BARC,ensemble,27,temperature,21.10766158167555
wtemp_lm_model,2023-01-09,2023-01-08,BARC,ensemble,28,temperature,21.237776602401247
wtemp_lm_model,2023-01-09,2023-01-08,BARC,ensemble,29,temperature,18.002203432159774
wtemp_lm_model,2023-01-09,2023-01-08,BARC,ensemble,30,temperature,20.30338518105536
wtemp_lm_model,2023-01-09,2023-01-08,BARC,ensemble,31,temperature,20.79392837871638
wtemp_lm_model,2023-01-10,2023-01-08,BARC,ensemble,1,temperature,17.683500539568
wtemp_lm_model,2023-01-10,2023-01-08,BARC,ensemble,2,temperature,21.164631676232645
wtemp_lm_model,2023-01-10,2023-01-08,BARC,ensemble,3,temperature,16.716815112650295
wtemp_lm_model,2023-01-10,2023-01-08,BARC,ensemble,4,temperature,14.97196929139737
wtemp_lm_model,2023-01-10,2023-01-08,BARC,ensemble,5,temperature,16.3577514458742
wtemp_lm_model,2023-01-10,2023-01-08,BARC,ensemble,6,temperature,14.566061631772351
wtemp_lm_model,2023-01-10,2023-01-08,BARC,ensemble,7,temperature,19.844561458372674
wtemp_lm_model,2023-01-10,2023-01-08,BARC,ensemble,8,temperature,18.053735235568958
wtemp_lm_model,2023-01-10,2023-01-08,BARC,ensemble,9,temperature,15.619784852769596
wtemp_lm_model,2023-01-10,2023-01-08,BARC,ensemble,10,temperature,10.860461392277532
wtemp_lm_model,2023-01-10,2023-01-08,BARC,ensemble,11,temperature,20.579770304629093
wtemp_lm_model,2023-01-10,2023-01-08,BARC,ensemble,12,temperature,13.00349641371515
wtemp_lm_model,2023-01-10,2023-01-08,BARC,ensemble,13,temperature,17.330726187381167
wtemp_lm_model,2023-01-10,2023-01-08,BARC,ensemble,14,temperature,12.564391658241833
wtemp_lm_model,2023-01-10,2023-01-08,BARC,ensemble,15,temperature,12.143824491445299
wtemp_lm_model,2023-01-10,2023-01-08,BARC,ensemble,16,temperature,20.01007294987439
wtemp_lm_model,2023-01-10,2023-01-08,BARC,ensemble,17,temperature,16.611121232959093
wtemp_lm_model,2023-01-10,2023-01-08,BARC,ensemble,18,temperature,20.733110724591832
wtemp_lm_model,2023-01-10,2023-01-08,BARC,ensemble,19,temperature,21.540988713869247
wtemp_lm_model,2023-01-10,2023-01-08,BARC,ensemble,20,temperature,20.952023039339295
wtemp_lm_model,2023-01-10,2023-01-08,BARC,ensemble,21,temperature,15.947369629253275
wtemp_lm_model,2023-01-10,2023-01-08,BARC,ensemble,22,temperature,16.153442980646965
wtemp_lm_model,2023-01-10,2023-01-08,BARC,ensemble,23,temperature,16.865596991436277
wtemp_lm_model,2023-01-10,2023-01-08,BARC,ensemble,24,temperature,15.804042200288139
wtemp_lm_model,2023-01-10,2023-01-08,BARC,ensemble,25,temperature,15.52814363231064
wtemp_lm_model,2023-01-10,2023-01-08,BARC,ensemble,26,temperature,19.4023326927979
wtemp_lm_model,2023-01-10,2023-01-08,BARC,ensemble,27,temperature,17.18993926088362
wtemp_lm_model,2023-01-10,2023-01-08,BARC,ensemble,28,temperature,18.24384381809942
wtemp_lm_model,2023-01-10,2023-01-08,BARC,ensemble,29,temperature,13.327515509703717
wtemp_lm_model,2023-01-10,2023-01-08,BARC,ensemble,30,temperature,16.914202279635504
wtemp_lm_model,2023-01-10,2023-01-08,BARC,ensemble,31,temperature,17.989901295829206
wtemp_lm_model,2023-01-11,2023-01-08,BARC,ensemble,1,temperature,16.5924292391854
wtemp_lm_model,2023-01-11,2023-01-08,BARC,ensemble,2,temperature,17.81393514293623
wtemp_lm_model,2023-01-11,2023-01-08,BARC,ensemble,3,temperature,16.262691768384656
wtemp_lm_model,2023-01-11,2023-01-08,BARC,ensemble,4,temperature,13.50613168495862
