model_id,datetime,reference_datetime,site_id,family,parameter,variable,prediction
wtemp_RW_model,2023-01-13,2023-01-12,BARC,ensemble,1,temperature,17.010009844972075
wtemp_RW_model,2023-01-14,2023-01-12,BARC,ensemble,1,temperature,17.331528406530246
wtemp_RW_model,2023-01-15,2023-01-12,BARC,ensemble,1,temperature,17.277904326468146
wtemp_RW_model,2023-01-16,2023-01-12,BARC,ensemble,1,temperature,17.751788322028087
wtemp_RW_model,2023-01-17,2023-01-12,BARC,ensemble,1,temperature,17.94092895866395
wtemp_RW_model,2023-01-18,2023-01-12,BARC,ensemble,1,temperature,18.100900150316935
wtemp_RW_model,2023-01-19,2023-01-12,BARC,ensemble,1,temperature,17.918938700336188
wtemp_RW_model,2023-01-20,2023-01-12,BARC,ensemble,1,temperature,18.23988888481599
wtemp_RW_model,2023-01-21,2023-01-12,BARC,ensemble,1,temperature,18.36339243819727
wtemp_RW_model,2023-01-22,2023-01-12,BARC,ensemble,1,temperature,18.12175528536591
wtemp_RW_model,2023-01-23,2023-01-12,BARC,ensemble,1,temperature,18.566674874032508
wtemp_RW_model,2023-01-24,2023-01-12,BARC,ensemble,1,temperature,18.540406711143316
wtemp_RW_model,2023-01-25,2023-01-12,BARC,ensemble,1,temperature,18.40199619416992
wtemp_RW_model,2023-01-26,2023-01-12,BARC,ensemble,1,temperature,18.695327525683044
wtemp_RW_model,2023-01-27,2023-01-12,BARC,ensemble,1,temperature,19.077041518169548
wtemp_RW_model,2023-01-28,2023-01-12,BARC,ensemble,1,temperature,18.844575841135658
wtemp_RW_model,2023-01-29,2023-01-12,BARC,ensemble,1,temperature,18.7095857118326
wtemp_RW_model,2023-01-30,2023-01-12,BARC,ensemble,1,temperature,18.5884666531562
wtemp_RW_model,2023-01-31,2023-01-12,BARC,ensemble,1,temperature,18.61702601524594
wtemp_RW_model,2023-02-01,2023-01-12,BARC,ensemble,1,temperature,19.249574227100936
wtemp_RW_model,2023-02-02,2023-01-12,BARC,ensemble,1,temperature,19.681062798433057
wtemp_RW_model,2023-02-03,2023-01-12,BARC,ensemble,1,temperature,19.776607125870438
wtemp_RW_model,2023-02-04,2023-01-12,BARC,ensemble,1,temperature,21.02381025225536
wtemp_RW_model,2023-02-05,2023-01-12,BARC,ensemble,1,temperature,20.857247352999252
wtemp_RW_model,2023-02-06,2023-01-12,BARC,ensemble,1,temperature,21.280343191083105
